2;[ 0, 1, 2, 3, 4, 5, 6 ];[ 13, 20, 6, 2, 6, 20, 13 ];47.500
3;[ 0, 1, 2, 3, 4, 5, 6, 7, 8 ];[ 19, 60, 156, 196, 218, 196, 156, 60, 19 ];52.593
4;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10 ];[ 1240, 1377, 525, 110, 12, 0, 12, 110, 525, 1377, 1240 ];54.442
5;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 ];[ 24, 128, 374, 760, 1224, 1640, 1700, 1640, 1224, 760, 374, 128, 24 ];49.440
7;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16 ];[ 28, 96, 480, 768, 1876, 2464, 3984, 4096, 5344, 4096, 3984, 2464, 1876, 768, 480, 96, 28 ];54.908
9;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20 ];[ 120, 656, 4072, 7088, 22480, 29184, 61542, 65504, 113296, 104992, 138580, 104992, 113296, 65504, 61542, 29184, 22480, 7088, 4072, 656, 120 ];56.626
11;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24 ];[ 5, 24, 300, 784, 2460, 3720, 9620, 10800, 20484, 22800, 34620, 32208, 43790, 32208, 34620, 22800, 20484, 10800, 9620, 3720, 2460, 784, 300, 24, 5 ];55.963
13;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28 ];[ 0, 0, 154, 336, 1792, 3416, 8582, 11088, 25396, 26600, 48454, 51632, 74788, 68432, 96852, 68432, 74788, 51632, 48454, 26600, 25396, 11088, 8582, 3416, 1792, 336, 154, 0, 0 ];56.243
17;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36 ];[ 0, 0, 0, 0, 432, 576, 4188, 6912, 16848, 24864, 51408, 56160, 113232, 106560, 186840, 187392, 260928, 231552, 334104, 231552, 260928, 187392, 186840, 106560, 113232, 56160, 51408, 24864, 16848, 6912, 4188, 576, 432, 0, 0, 0, 0 ];56.605
19;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40 ];[ 0, 0, 0, 0, 30, 360, 1320, 3600, 12660, 15480, 39840, 53400, 102060, 103800, 205440, 192360, 321045, 318120, 437460, 381360, 561810, 381360, 437460, 318120, 321045, 192360, 205440, 103800, 102060, 53400, 39840, 15480, 12660, 3600, 1320, 360, 30, 0, 0, 0, 0 ];56.729
23;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48 ];[ 0, 0, 0, 0, 0, 0, 88, 0, 2376, 4928, 14256, 22176, 64592, 68640, 144144, 179520, 313500, 303072, 562144, 495264, 818532, 790592, 1064184, 903936, 1344464, 903936, 1064184, 790592, 818532, 495264, 562144, 303072, 313500, 179520, 144144, 68640, 64592, 22176, 14256, 4928, 2376, 0, 88, 0, 0, 0, 0, 0, 0 ];56.911
25;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52 ];[ 0, 0, 0, 0, 0, 0, 34, 0, 312, 2400, 12436, 26256, 48584, 99312, 204052, 261552, 411248, 641120, 843456, 1015360, 1534024, 1602864, 2121044, 2541968, 2777904, 2873808, 3464532, 2873808, 2777904, 2541968, 2121044, 1602864, 1534024, 1015360, 843456, 641120, 411248, 261552, 204052, 99312, 48584, 26256, 12436, 2400, 312, 0, 34, 0, 0, 0, 0, 0, 0 ];51.655
29;[ 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60 ];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 840, 6860, 10080, 36330, 59920, 121380, 150360, 347830, 326760, 635040, 704760, 1149330, 1031520, 1846460, 1587600, 2510340, 2346960, 3067260, 2572080, 3949680, 2572080, 3067260, 2346960, 2510340, 1587600, 1846460, 1031520, 1149330, 704760, 635040, 326760, 347830, 150360, 121380, 59920, 36330, 10080, 6860, 840, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ];57.090
